00:41:52                        Запускается сервис Монитора Установки...
00:41:52                        Версия сервиса: 0x105
00:41:52                        Запускаем 'setup.exe'...
00:41:52                        Монитор установки запущен
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\fe\fe0c3da0fd679b3b888e6d4c51b1ceff.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\Plugins\steam_api64.cdx
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\lib\security\blacklisted.certs
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\lib\i386\jvm.cfg
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\Mono\etc\mono\1.0\machine.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\Mono\etc\mono\2.0\machine.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\etc\mono\2.0\machine.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\etc\mono\4.0\machine.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\etc\mono\4.5\machine.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\etc\mono\2.0\web.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\Mono\etc\mono\2.0\web.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\etc\mono\4.0\web.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\etc\mono\4.5\web.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\boot.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\boot.config
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\javacpl.cpl
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\lib\tzdb.dat
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\lib\currency.data
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\UnityPlayer.dll
00:44:05    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\UnityPlayer.dll
00:44:09    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\awt.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\bci.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\dcpr.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\decora_sse.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\deploy.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\dt_shmem.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\dt_socket.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\w2k_lsa_auth.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\eula.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\fontmanager.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\fxplugins.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\glass.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\glib-lite.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\gstreamer-lite.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\hprof.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\instrument.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\j2pcsc.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jsdt.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\j2pkcs11.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\nio.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jaas_nt.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\java.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\java_crw_demo.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\JavaAccessBridge-32.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\JavaAccessBridge.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\javafx_font.dll
00:44:10    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\javafx_font_t2k.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\javafx_iio.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jawt.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\JAWTAccessBridge-32.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\JAWTAccessBridge.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jdwp.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\wsdetect.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jfr.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jfxmedia.dll
00:44:11    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jfxwebkit.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jli.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jp2iexp.dll
